PlayerID,Player,Age,Games,Minutes,FGM,FGA,FTM,FTA,ORB,TRB,AST,STL,BLK,PF,PTS,FGP,FTP,MPG,PPG,RPG,APG,RANDOM
achiupr01,Precious Achiuwa,21,61,737,124,228,56,110,73,208,29,20,28,91,304,0.544,0.509,12.1,5,3.4,0.5,
anthoco01,Cole Anthony,20,47,1273,219,552,109,131,38,221,192,30,18,98,605,0.397,0.832,27.1,12.9,4.7,4.1,
avdijde01,Deni Avdija,20,54,1257,130,312,29,45,22,262,63,32,15,140,342,0.417,0.644,23.3,6.3,4.9,1.2,
ballla01,LaMelo Ball,19,51,1469,293,672,125,165,63,302,313,81,18,136,803,0.436,0.758,28.8,15.7,5.9,6.1,
banede01,Desmond Bane,22,68,1519,234,499,40,49,31,210,118,41,16,125,625,0.469,0.816,22.3,9.2,3.1,1.7,
beysa01,Saddiq Bey,21,70,1909,279,691,124,147,43,318,95,52,14,110,857,0.404,0.844,27.3,12.2,4.5,1.4,
edwaran01,Anthony Edwards,19,72,2314,505,1211,211,272,59,336,211,82,36,129,1392,0.417,0.776,32.1,19.3,4.7,2.9,
flynnma01,Malachi Flynn,22,47,928,127,340,45,56,10,116,137,38,7,68,353,0.374,0.804,19.7,7.5,2.5,2.9,
halibty01,Tyrese Haliburton,20,58,1746,292,619,48,56,39,173,309,77,28,83,753,0.472,0.857,30.1,13,3,5.3,
hamptrj01,R.J. Hampton,19,51,888,136,313,55,82,29,179,87,21,10,61,354,0.435,0.671,17.4,6.9,3.5,1.7,
joeis01,Isaiah Joe,21,41,383,48,133,18,24,6,36,20,12,4,34,153,0.361,0.75,9.3,3.7,0.9,0.5,
leesa01,Saben Lee,21,48,781,99,210,61,89,20,97,174,32,13,76,267,0.471,0.685,16.3,5.6,2,3.6,
lewiski01,Kira Lewis Jr.,19,54,904,130,337,43,51,12,71,124,38,10,88,343,0.386,0.843,16.7,6.4,1.3,2.3,
maledth01,Théo Maledon,19,65,1778,226,614,101,135,25,211,227,56,11,126,658,0.368,0.748,27.4,10.1,3.2,3.5,
martike04,Kenyon Martin Jr.,20,45,1068,162,318,60,84,73,242,48,30,41,89,419,0.509,0.714,23.7,9.3,5.4,1.1,
maxeyty01,Tyrese Maxey,20,61,935,198,429,61,70,11,104,120,26,13,79,488,0.462,0.871,15.3,8,1.7,2,
mcdanja02,Jaden McDaniels,20,63,1511,164,367,27,45,52,232,71,35,60,172,427,0.447,0.6,24,6.8,3.7,1.1,
nesmiaa01,Aaron Nesmith,21,46,669,78,178,22,28,28,127,23,15,9,87,218,0.438,0.786,14.5,4.7,2.8,0.5,
nnajize01,Zeke Nnaji,20,42,397,50,104,12,15,14,65,10,8,4,29,136,0.481,0.8,9.5,3.2,1.5,0.2,
okekech01,Chuma Okeke,22,45,1133,135,324,30,40,42,181,101,48,22,48,349,0.417,0.75,25.2,7.8,4,2.2,
okongon01,Onyeka Okongwu,20,50,601,96,149,36,57,62,163,18,23,33,100,228,0.644,0.632,12,4.6,3.3,0.4,
okorois01,Isaac Okoro,20,67,2173,235,559,114,157,68,206,128,62,24,185,646,0.42,0.726,32.4,9.6,3.1,1.9,
pokusal01,Aleksej Pokusevski,19,45,1090,139,408,31,42,30,212,97,20,42,58,367,0.341,0.738,24.2,8.2,4.7,2.2,
quickim01,Immanuel Quickley,21,64,1243,229,580,155,174,25,137,127,30,12,114,731,0.395,0.891,19.4,11.4,2.1,2,
stewais01,Isaiah Stewart,19,68,1455,226,409,64,92,159,453,59,39,86,184,537,0.553,0.696,21.4,7.9,6.7,0.9,
tillmxa01,Xavier Tillman Sr.,22,59,1085,167,299,34,53,74,256,75,44,33,116,390,0.559,0.642,18.4,6.6,4.3,1.3,
toppiob01,Obi Toppin,22,62,683,104,209,19,26,26,138,29,17,15,55,253,0.498,0.731,11,4.1,2.2,0.5,
vassede01,Devin Vassell,20,62,1056,123,303,43,51,24,174,56,43,18,88,341,0.406,0.843,17,5.5,2.8,0.9,
willipa01,Patrick Williams,19,71,1983,255,528,91,125,66,327,99,64,46,126,655,0.483,0.728,27.9,9.2,4.6,1.4,
bantoda01,Dalano Banton,22,64,696,83,202,26,44,38,124,99,28,10,68,205,0.411,0.591,10.9,3.2,1.9,1.5,
barnesc01,Scottie Barnes,20,74,2617,459,932,158,215,195,557,256,80,55,192,1134,0.492,0.735,35.4,15.3,7.5,3.5,
bostobr01,Brandon Boston Jr.,20,51,760,125,325,59,72,17,111,51,26,13,43,343,0.385,0.819,14.9,6.7,2.2,1,
browngr01,Greg Brown III,20,48,640,81,190,44,65,38,135,35,26,24,90,225,0.426,0.677,13.3,4.7,2.8,0.7,
butleja02,Jared Butler,21,42,360,61,151,11,16,5,45,63,17,8,47,161,0.404,0.688,8.6,3.8,1.1,1.5,
chrisjo01,Josh Christopher,20,74,1334,224,500,83,113,52,186,150,65,13,97,587,0.448,0.735,18,7.9,2.5,2,
cunnica01,Cade Cunningham,20,64,2088,429,1031,142,168,58,354,356,78,43,200,1114,0.416,0.845,32.6,17.4,5.5,5.6,
dosunay01,Ayo Dosunmu,22,77,2110,278,535,53,78,27,214,256,60,29,182,679,0.52,0.679,27.4,8.8,2.8,3.3,
edwarke02,Kessler Edwards,21,48,987,110,267,16,19,44,172,31,29,24,85,284,0.412,0.842,20.6,5.9,3.6,0.6,
giddejo01,Josh Giddey,19,54,1700,281,670,56,79,98,421,345,51,20,88,674,0.419,0.709,31.5,12.5,7.8,6.4,
greenja05,Jalen Green,19,67,2138,406,954,188,236,33,226,176,44,18,103,1157,0.426,0.797,31.9,17.3,3.4,2.6,
grimequ01,Quentin Grimes,21,46,786,95,235,13,19,24,94,44,31,11,72,275,0.404,0.684,17.1,6,2,1,
hylanbo01,Bones Hyland,21,69,1310,230,571,107,125,14,188,191,41,20,153,698,0.403,0.856,19,10.1,2.7,2.8,
kispeco01,Corey Kispert,22,77,1801,234,514,54,62,53,209,85,35,22,93,634,0.455,0.871,23.4,8.2,2.7,1.1,
kuminjo01,Jonathan Kuminga,19,70,1185,236,460,130,190,54,234,64,31,22,146,652,0.513,0.684,16.9,9.3,3.3,0.9,
mamuksa01,Sandro Mamukelashvili,22,41,407,57,115,18,22,35,82,22,9,9,28,154,0.496,0.818,9.9,3.8,2,0.5,
manntr01,Tre Mann,20,60,1367,231,588,65,82,25,171,91,47,12,102,625,0.393,0.793,22.8,10.4,2.9,1.5,
mobleev01,Evan Mobley,20,69,2331,422,830,167,252,143,570,174,56,115,147,1034,0.508,0.663,33.8,15,8.3,2.5,
moodymo01,Moses Moody,19,52,607,80,183,28,36,17,80,23,7,10,43,228,0.437,0.778,11.7,4.4,1.5,0.4,
murphtr02,Trey Murphy III,21,62,864,109,277,45,51,47,147,38,23,7,60,334,0.394,0.882,13.9,5.4,2.4,0.6,
primojo01,Joshua Primo,19,50,965,101,270,44,59,32,113,81,20,23,79,288,0.374,0.746,19.3,5.8,2.3,1.6,
robinje02,Jeremiah Robinson-Earl,21,49,1087,134,324,40,54,75,274,49,29,15,75,366,0.414,0.741,22.2,7.5,5.6,1,
sengual01,Alperen ?engün,19,72,1489,249,525,165,232,138,393,185,59,68,214,692,0.474,0.711,20.7,9.6,5.5,2.6,
suggsja01,Jalen Suggs,20,48,1307,198,548,126,163,26,171,209,59,19,142,564,0.361,0.773,27.2,11.8,3.6,4.4,
thomaca02,Cam Thomas,20,67,1176,218,503,87,105,16,161,78,33,8,66,570,0.433,0.829,17.6,8.5,2.4,1.2,
wagnefr01,Franz Wagner,20,79,2429,456,975,189,219,84,356,231,68,34,164,1197,0.468,0.863,30.7,15.2,4.5,2.9,
washidu02,Duane Washington Jr.,21,48,968,173,427,46,61,4,83,85,26,3,66,473,0.405,0.754,20.2,9.9,1.7,1.8,
watfotr01,Trendon Watford,21,48,869,142,267,71,94,57,199,81,25,28,116,364,0.532,0.755,18.1,7.6,4.1,1.7,
willizi02,Ziaire Williams,20,62,1346,191,424,43,55,26,129,65,35,12,113,501,0.45,0.782,21.7,8.1,2.1,1,
agbajoc01,Ochai Agbaji,22,59,1209,165,386,56,69,43,121,67,16,15,99,467,0.427,0.812,20.5,7.9,2.1,1.1,
banchpa01,Paolo Banchero,20,72,2430,479,1122,394,534,84,497,269,60,39,160,1437,0.427,0.738,33.8,20,6.9,3.7,
beaucma01,MarJon Beauchamp,22,52,701,96,243,27,37,38,115,35,21,7,71,266,0.395,0.73,13.5,5.1,2.2,0.7,
branhma01,Malaki Branham,19,66,1550,269,611,58,70,28,181,127,33,7,115,673,0.44,0.829,23.5,10.2,2.7,1.9,
braunch01,Christian Braun,21,76,1181,143,289,40,64,48,181,59,41,17,101,360,0.495,0.625,15.5,4.7,2.4,0.8,
chrisma02,Max Christie,19,41,512,44,106,14,16,7,75,21,9,7,33,128,0.415,0.875,12.5,3.1,1.8,0.5,
daniedy01,Dyson Daniels,19,59,1042,87,208,26,40,36,188,134,43,11,99,227,0.418,0.65,17.7,3.8,3.2,2.3,
durenja01,Jalen Duren,19,67,1670,258,398,96,157,229,595,75,44,59,182,612,0.648,0.611,24.9,9.1,8.9,1.1,
easonta01,Tari Eason,21,82,1767,296,660,109,145,195,496,88,96,47,189,760,0.448,0.752,21.5,9.3,6,1.1,
griffaj01,AJ Griffin,19,72,1401,248,533,42,47,37,153,73,42,12,87,639,0.465,0.894,19.5,8.9,2.1,1,
hardyja02,Jaden Hardy,20,48,708,146,333,65,79,11,89,65,17,7,64,420,0.438,0.823,14.8,8.8,1.9,1.4,
houstca01,Caleb Houstan,20,51,812,66,182,15,18,34,99,30,12,7,63,193,0.363,0.833,15.9,3.8,1.9,0.6,
iveyja01,Jaden Ivey,20,74,2304,409,983,266,356,73,288,387,61,17,242,1204,0.416,0.747,31.1,16.3,3.9,5.2,
kesslwa01,Walker Kessler,21,74,1703,298,414,82,159,231,620,69,26,173,169,679,0.72,0.516,23,9.2,8.4,0.9,
kolokch01,Christian Koloko,22,58,802,72,150,37,59,84,171,31,21,57,128,182,0.48,0.627,13.8,3.1,2.9,0.5,
mathube01,Bennedict Mathurin,20,78,2222,413,951,376,454,87,318,116,48,13,162,1302,0.434,0.828,28.5,16.7,4.1,1.5,
mcgowbr01,Bryce McGowens,20,46,787,80,202,60,80,20,93,54,15,6,48,246,0.396,0.75,17.1,5.3,2,1.2,
murrake02,Keegan Murray,22,80,2382,354,782,62,81,89,371,98,61,42,162,976,0.453,0.765,29.8,12.2,4.6,1.2,
roddyda01,David Roddy,21,70,1258,180,420,41,65,50,193,59,29,19,107,466,0.429,0.631,18,6.7,2.8,0.8,
sharpsh01,Shaedon Sharpe,19,80,1779,306,648,75,105,63,236,94,38,24,136,789,0.472,0.714,22.2,9.9,3,1.2,
smithja05,Jabari Smith Jr.,19,79,2451,364,892,162,206,122,569,101,43,74,227,1010,0.408,0.786,31,12.8,7.2,1.3,
sochaje01,Jeremy Sochan,19,56,1458,250,552,81,116,95,295,142,43,23,138,614,0.453,0.698,26,11,5.3,2.5,
walkeja01,Jabari Walker,20,56,619,83,198,34,45,48,131,34,10,13,69,216,0.419,0.756,11.1,3.9,2.3,0.6,
willija06,Jalen Williams,21,75,2276,414,794,155,191,84,337,248,103,35,191,1056,0.521,0.812,30.3,14.1,4.5,3.3,
willija07,Jaylin Williams,20,49,914,102,234,38,54,44,241,76,28,12,111,288,0.436,0.704,18.7,5.9,4.9,1.6,
willima07,Mark Williams,21,43,828,160,251,67,97,93,304,18,28,45,94,387,0.637,0.691,19.3,9,7.1,0.4,
